allegation_id,complaint_id
1,54
1,48
2,54
3,54
4,6
4,47
5,6
5,46
6,6
7,6
7,42
8,42
9,42
10,6
11,42
11,47
12,54
13,6
13,26
14,54
14,6
15,54
15,6
16,6
17,6
18,6
18,39
19,42
19,5
20,54
21,42
21,5
22,6
22,39
23,42
23,5
24,6
24,51
25,6
26,6
26,50
27,6
27,21
28,42
28,16
29,42
29,5
30,6
31,42
31,5
32,6
33,6
33,42
34,6
34,46
35,54
36,6
36,20
37,42
37,5
38,54
38,32
39,42
39,49
40,42
40,49
41,13
42,42
42,5
43,5
43,37
44,5
44,25
45,6
45,44
46,6
46,23
46,44
47,42
47,15
48,31
48,6
49,54
49,38
50,31
50,6
51,6
51,46
51,53
52,6
52,20
53,6
53,29
54,6
55,31
55,6
56,54
56,32
57,6
57,26
58,6
58,29
59,6
59,29
60,6
60,20
61,6
61,20
62,6
62,3
63,6
63,3
64,6
64,31
65,6
65,31
66,42
66,9
67,42
67,9
68,54
68,38
69,54
69,38
70,42
70,18
71,42
71,18
72,6
72,31
73,6
73,31
74,6
74,46
74,53
75,6
75,46
75,53
76,6
76,20
77,6
77,20
78,6
78,29
79,6
79,29
80,54
80,32
81,54
81,32
82,6
82,26
83,6
83,26
84,6
84,27
84,42
84,52
85,6
85,27
85,42
85,52
86,6
87,54
88,6
89,54
90,54
91,6
91,46
92,6
92,46
93,32
93,2
94,6
94,20
95,42
96,54
96,38
97,6
98,5
98,37
99,6
100,6
101,54
102,54
103,6
104,54
105,54
106,6
106,20
107,42
108,54
108,38
109,6
110,5
110,37
111,6
112,5
112,37
113,6
113,42
114,54
115,6
116,54
117,54
117,35
118,54
119,54
120,42
121,42
121,5
122,6
123,6
123,56
124,54
124,38
125,13
126,13
127,6
128,6
129,42
130,42
130,41
131,42
131,5
132,42
132,5
133,6
133,39
134,6
134,46
135,54
136,6
136,22
137,42
137,12
138,5
138,37
139,54
139,38
140,6
141,42
141,55
142,42
142,5
143,54
143,38
144,6
145,6
146,42
147,6
148,13
149,5
150,6
151,6
151,29
152,6
152,10
153,42
154,6
154,3
155,13
156,42
156,5
157,42
158,6
159,42
159,5
160,6
160,31
161,42
161,5
162,54
162,38
163,54
163,38
164,6
165,6
166,42
166,5
167,54
168,6
169,6
170,13
171,13
172,42
172,5
173,42
173,45
174,42
175,54
175,38
176,42
176,24
177,42
178,10
179,54
179,38
180,34
181,6
182,6
182,31
183,6
184,42
184,6
185,42
185,7
186,42
187,42
187,5
188,42
188,5
189,6
189,29
190,42
190,11
191,42
192,54
193,54
194,54
195,54
195,48
196,42
196,5
197,6
198,54
199,54
200,54
201,6
202,6
202,20
203,54
204,54
205,6
205,22
206,13
207,42
207,5
208,6
209,54
210,42
211,42
211,47
211,43
212,42
212,40
213,42
213,19
214,10
215,42
216,10
217,54
217,38
218,54
219,42
219,6
220,22
221,42
221,5
222,42
222,5
223,42
223,5
224,6
224,42
225,42
225,8
226,42
226,5
227,54
228,54
229,6
229,31
230,6
231,6
231,31
232,6
233,6
234,42
234,49
235,54
235,17
236,6
236,46
237,54
238,6
238,31
239,54
240,6
240,31
241,42
241,5
242,54
243,54
244,54
244,6
245,54
246,42
246,5
247,54
248,6
249,54
250,54
251,54
252,6
252,26
253,6
253,31
254,54
255,54
256,42
257,42
257,5
258,54
259,6
259,26
260,54
261,6
261,3
262,42
262,5
263,54
264,54
265,54
266,54
267,42
267,5
268,54
269,42
269,5
270,6
270,30
271,6
272,6
272,26
273,54
274,54
275,54
276,54
277,6
277,10
278,6
278,26
279,54
280,54
281,42
281,28
282,42
282,5
283,54
283,6
284,6
284,26
285,42
285,33
286,42
286,48
287,42
287,36
288,42
288,5
289,54
290,42
290,1
291,54
292,54
293,54
294,54
295,6
296,54
297,54
298,54
299,54
300,6
300,20
301,42
301,41
302,54
302,4
302,38
303,54
304,6
305,42
305,1
306,54
307,54
308,54
309,42
309,5
310,42
310,5
311,42
312,54
313,54
314,54
315,42
316,13
317,13
318,6
319,42
319,5
320,13
321,6
321,29
322,54
323,42
324,42
324,5
325,42
325,5
326,42
326,5
327,42
328,13
329,13
330,42
331,6
332,42
332,14
333,42
334,6
335,42
335,5
336,6
337,42
337,3
338,6
