allegation_id,disposition_id
1,9
2,15
3,15
3,16
3,7
4,15
5,15
6,15
7,15
8,15
9,15
10,9
11,15
12,15
13,7
14,7
15,7
16,16
16,7
17,15
18,16
18,7
19,9
20,19
21,16
21,4
22,19
22,4
23,9
24,15
24,7
25,9
26,16
26,7
27,17
28,16
28,7
29,15
29,16
29,7
29,20
30,15
31,15
31,16
31,7
31,20
32,15
33,19
33,22
33,18
34,15
35,15
36,19
36,11
36,12
36,18
37,16
37,7
38,15
39,19
39,22
40,19
40,22
41,15
42,19
42,18
43,15
44,10
45,15
46,7
47,15
48,5
49,15
50,10
51,16
51,6
52,18
53,9
54,16
54,7
55,10
56,9
57,10
58,15
59,15
60,16
60,7
61,16
61,7
62,16
62,7
63,16
63,7
64,16
64,5
65,16
65,5
66,18
67,18
68,15
69,15
70,9
71,9
72,15
73,15
74,16
74,6
75,16
75,6
76,18
77,18
78,9
79,9
80,9
81,9
82,10
83,10
84,17
85,17
86,15
87,15
88,15
88,16
88,7
89,15
89,7
90,15
91,15
91,7
92,15
92,7
93,15
94,15
95,15
95,7
96,15
97,15
98,4
99,15
100,15
101,15
102,15
103,15
103,16
103,7
104,15
104,16
104,7
105,15
106,15
107,15
107,7
108,15
109,15
110,4
111,15
112,15
113,16
113,4
114,15
115,15
116,15
117,15
118,15
118,16
118,7
119,15
120,15
121,16
121,7
122,15
123,16
123,7
124,15
125,15
126,9
127,17
128,17
129,13
130,15
130,7
131,15
131,16
131,7
132,19
133,15
134,16
134,4
135,16
135,7
136,17
137,19
138,9
139,15
140,16
140,5
141,16
141,7
142,16
142,7
143,15
144,16
144,7
145,16
145,7
146,16
146,7
147,15
148,9
149,17
150,9
151,15
152,19
152,18
153,15
154,16
154,7
155,17
156,16
156,7
157,17
158,16
158,4
159,16
159,4
159,20
160,15
161,7
162,15
163,9
164,17
165,17
166,9
167,15
168,9
169,10
170,9
171,15
172,17
173,17
174,17
175,15
176,17
177,17
178,9
179,15
180,4
181,15
182,9
183,15
184,15
185,15
185,7
186,19
186,18
187,15
187,16
187,7
188,16
188,7
188,8
189,15
190,17
191,7
192,15
193,9
194,15
195,9
196,9
197,15
198,15
199,23
200,15
200,16
200,7
201,15
202,15
203,15
204,15
205,15
206,23
207,15
208,15
209,15
210,16
210,1
211,15
212,15
212,7
213,16
213,7
214,2
215,2
216,15
217,15
218,15
219,23
220,15
221,9
222,9
223,19
223,18
224,16
224,7
225,9
226,19
226,18
227,15
228,15
229,19
229,22
230,15
231,19
231,22
231,14
232,15
233,15
234,19
235,19
235,18
236,17
237,9
238,9
239,15
240,16
240,7
241,3
242,15
243,15
244,15
244,16
244,7
245,15
245,22
246,9
247,15
247,16
247,5
248,15
249,15
250,15
251,15
252,19
252,14
252,22
253,19
253,14
253,22
254,15
255,15
256,15
257,19
257,21
257,8
258,15
259,15
259,16
259,4
260,15
261,3
262,15
262,16
262,7
263,15
263,16
263,7
264,15
265,15
266,15
267,9
268,16
268,7
269,15
270,16
270,7
271,15
272,19
273,16
273,7
274,15
275,15
276,15
277,15
278,19
278,22
279,15
280,15
281,15
282,16
282,7
283,9
284,16
284,7
285,19
286,15
286,16
286,5
287,16
287,4
288,19
288,18
289,15
290,19
290,18
291,15
292,15
293,15
294,15
295,15
296,15
297,15
298,15
299,15
300,15
300,7
301,15
301,7
302,15
303,19
303,22
304,10
305,10
306,15
307,15
308,15
309,7
310,13
311,17
312,15
313,15
314,17
315,17
316,18
317,13
318,17
319,19
320,9
321,9
322,9
323,19
323,18
323,13
324,9
325,16
325,7
326,9
327,9
328,15
329,9
330,16
330,4
331,17
332,16
332,4
333,9
334,15
335,9
336,15
337,7
338,15
338,7
