id,label,slug
1,Additional Employment,additional-employment
2,Animal,animal
3,Awol,awol
4,Chemical,chemical
5,City Involved Accident,city-involved-accident
6,Conduct,conduct
7,Correspondences,correspondences
8,Court Appearance,court-appearance
9,Court Attire,court-attire
10,Discourtesy,discourtesy
11,Domestic Involving Dept Member,domestic-involving-dept-member
12,Escaped Prisoner,escaped-prisoner
13,Excessive Force,excessive-force
14,Expired License,expired-license
15,Fail To Appear,fail-to-appear
16,Failed To Respond,failed-to-respond
17,False Arrest,false-arrest
18,Firearms Discharge,firearms-discharge
19,Firearms Security,firearms-security
20,Harassment,harassment
21,Hostile Work Environment,hostile-work-environment
22,Illegal Search,illegal-search
23,Improper Arrest,improper-arrest
24,Improper Search,improper-search
25,Injury,injury
26,Insubordination,insubordination
27,Intoxicated,intoxicated
28,Investigation,investigation
29,Lost Stolen Property,lost-stolen-property
30,Missing Property,missing-property
31,Off Duty,off-duty
32,Officer Involved Shooting,officer-involved-shooting
33,On Duty Accident,on-duty-accident
34,On Duty Auto Accident,on-duty-auto-accident
35,On Duty Shooting,on-duty-shooting
36,Order To Sign Statement,order-to-sign-statement
37,Pdo,pdo
38,Physical,physical
39,Poor Service,poor-service
40,Prisoner Transport,prisoner-transport
41,Prisoners,prisoners
42,Procedures,procedures
43,Property Damage,property-damage
44,Racial Profiling,racial-profiling
45,Report Entry,report-entry
46,Rudeness,rudeness
47,Search,search
48,Shots Fired,shots-fired
49,Sick Confinement,sick-confinement
50,Social Media Violation,social-media-violation
51,Truthfulness,truthfulness
52,Uniform Violation,uniform-violation
53,Unprofessional,unprofessional
54,Use Of Force,use-of-force
55,Vehicle Pursuit,vehicle-pursuit
56,Weapon Pointed,weapon-pointed
